Title,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
"""Come With Me""",3Uoq4CpyMNdb0TiLvLXxHp,0.976,0.182,0.094,0.868,0.868,-24.88,0.0449,0.0325,143.909,19
"""The Cosmos Is Yours""",3hdfT9f2jWMxXte12YU3Go,0.921,0.22,0.231,0.852,0.852,-16.967,0.0365,0.0356,115.441,19
Virgo Supercluster,2hfPZl2AuvFJ8ZDpKtqHXw,0.722,0.139,0.178,0.523,0.523,-19.446,0.0402,0.0345,178.917,20
Multiverse,4cI4D5wkN8pF1XXFGNA4dL,0.816,0.273,0.131,0.533,0.533,-24.529,0.0348,0.0306,106.997,18
Giordano Bruno,1qCSjo666qeImD4ypPBZie,0.944,0.196,0.0759,0.822,0.822,-22.787,0.0389,0.0599,77.674,21
Revelation of Immensity,4dkasKm3QhSdbKTeyZ7aoK,0.915,0.205,0.148,0.471,0.471,-17.306,0.0408,0.0324,111.616,17
The Inquisition,1UwyoRWlIpKmNrkslGLB16,0.909,0.0922,0.0867,0.888,0.888,-21.349,0.0427,0.031,71.607,15
The Staggering Immensity of Time,4vGrrNGRlxDJL4eWjabuPV,0.943,0.208,0.0884,0.728,0.728,-18.709,0.0334,0.0318,70.28,16
Star Stuff,2C1JXIezaPU6wgDVMZEUhw,0.792,0.548,0.187,0.956,0.956,-22.147,0.0336,0.0367,105.732,19
Chance Nature of Existence,5vPLg1H9JutZIrO8J9JUNu,0.691,0.388,0.329,0.869,0.869,-20.435,0.0425,0.0431,107.629,16
New Years Eve,3n4Kl4sjrcZjDaoxcD4uO7,0.0752,0.488,0.523,0.813,0.813,-15.996,0.0425,0.04,119.491,15
"""Our Journey Is Just Beginning""",4K3HgCO0Lrrdlsgf1wpSF2,0.932,0.171,0.0749,0.948,0.948,-19.999,0.0355,0.0335,141.74,16
男と女,1f76rJMP93OCXuDn3lzq0S,0.0838,0.655,0.894,3.96e-06,3.96e-06,-6.186,0.0354,0.877,121.968,48
Sweet Love,6ceje6UKhygjO1U1TYvv5P,0.241,0.607,0.705,0.0,0.0,-6.929,0.0309,0.656,93.04,0
Secret of my Heart (第180話〜240話 ED),6mODevpTSXW7DCiNwy6tnk,0.612,0.61,0.672,0.0,0.0,-5.696,0.0356,0.819,170.049,37
Gwangalli 광안리,5vakmnmH8tXgOidOG0WGdS,0.313,0.586,0.913,0.0,0.0,-2.678,0.0651,0.762,107.982,25
Venus 샛별,0jPTHhBv2teXdzPdA1fudj,0.117,0.675,0.829,0.000842,0.000842,-2.962,0.0455,0.694,108.92,34
1호선,7Hd81LUAkBSoPH3C2iaMpW,0.598,0.732,0.769,0.0,0.0,-1.643,0.0364,0.933,100.985,20
Beautiful Night,58hg6m0UaJ3LFQBOV8HmoY,0.328,0.667,0.796,0.0,0.0,-2.703,0.0285,0.737,93.911,17
Give Me The Light 불을 밝혀줘,0uJYbZ0tNOLrxncyLTOObR,0.184,0.72,0.831,0.0233,0.0233,-3.975,0.037,0.803,99.995,27
