Title,ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity,Predict,Karaokability
Fight For Your Right,5NLuC70kZQv8q34QyQa1DP,0.00757,0.503,0.858,0.00234,0.0803,-6.296,0.0657,0.419,133.615,69,1,0.8285024840312508
Time After Time,7o9uu2GDtVDr9nsR7ZRN73,0.487,0.726,0.449,1.34e-06,0.0824,-9.206,0.0286,0.294,130.388,72,1,0.8283924153233408
Yellow Submarine - Remastered 2009,50xwQXPtfNZFKFeZ0XePWc,0.531,0.604,0.5489999999999999,0.0,0.0,-9.873,0.0389,0.696,111.398,64,1,0.8282991684252252
Like a Prayer,1z3ugFmUKoCzGsI6jdY4Ci,0.264,0.624,0.8420000000000001,2.11e-05,0.181,-5.285,0.0376,0.257,111.037,71,1,0.8279846412849077
Angels & Demons,4GUj9MfPPkjpZskxb45uiX,0.119,0.5539999999999999,0.8,0.0,0.629,-3.936,0.0395,0.463,115.056,76,1,0.827807333214541
Wuthering Heights,5YSI1311X8t31PBjkBG4CZ,0.366,0.481,0.392,0.0452,0.124,-11.380999999999998,0.0312,0.52,124.572,69,1,0.8275966053305673
I'll Stand by You,3Nf8oGn1okobzjDcFCvT6n,0.3,0.438,0.606,4.49e-06,0.0754,-6.549,0.0305,0.266,133.822,71,1,0.8275225380628901
True Colors,1oGdVdYjeQvojGKDddxLQQ,0.28600000000000003,0.624,0.424,0.0,0.173,-8.237,0.24,0.584,76.671,68,1,0.8269306380663601
Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,0.031,0.61,0.926,0.0012,0.0821,-4.843,0.0479,0.861,172.638,71,1,0.8268124020314729
Rasputin,5lWSa1rmuSL6OBPOnkAqoa,0.46299999999999997,0.691,0.752,0.00103,0.00103,-11.47,0.0455,0.97,126.005,66,1,0.8268004014850308
Lift Yourself,3uYDO9dPLTVrgfwg7EYXSf,0.0108,0.877,0.435,1.88e-06,1.88e-06,-8.131,0.136,0.589,98.008,59,1,0.8266148788441753
Alright,3iVcZ5G6tvkXZkZKlMpIUs,0.0742,0.7959999999999999,0.7659999999999999,0.0,0.0,-5.974,0.23800000000000002,0.5579999999999999,110.03399999999999,73,1,0.8263985184746151
"Boom, Boom, Boom, Boom!!",2Ld2LehpgQNREMxl9LlIzm,0.0134,0.8109999999999999,0.935,0.41100000000000003,0.41100000000000003,-4.595,0.0407,0.968,138.47899999999998,76,1,0.8262666645782449
I Hope That I Don't Fall In Love With You,23Uv9xqLumDqEBNIdHhCcO,0.918,0.539,0.29600000000000004,0.0056,0.127,-11.74,0.0253,0.545,85.62200000000001,62,1,0.8259534983753302
My Hero,4dVbhS6OiYvFikshyaQaCN,6.2e-05,0.39799999999999996,0.927,0.000177,0.000177,-4.212,0.0567,0.311,77.10600000000001,70,1,0.8258314457462296
