Title,ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Kylo Ren Arrives at the Battle,4iMmW8NcVFU5ytJkHa6IbA,0.881,0.242,0.302,0.942,0.136,-14.991,0.0522,0.0554,123.185,42
The Abduction,6oaHglhRhDyRfkuns0c0EU,0.276,0.382,0.535,0.000593,0.253,-8.412,0.158,0.318,158.406,34
Han and Leia,435kGXFzCdIT7O3qlR34zw,0.968,0.0836,0.0223,0.948,0.0912,-22.6,0.0453,0.0387,170.502,38
March of the Resistance,420y9qWviZ4cdneynQWSKr,0.88,0.608,0.398,0.915,0.144,-9.625,0.0295,0.487,101.955,46
Snoke,3o1js2az714YgrfcMgxdas,0.896,0.0753,0.00822,0.948,0.117,-38.384,0.0416,0.0333,81.373,34
On the Inside (feat. 21 Savage),5ZHbT8BXYY7Gq9S5HURfwV,0.121,0.812,0.615,0.0,0.108,-6.634,0.368,0.512,163.974,50
Torn Apart,2rpW6YlfARNrITNWJbqCgM,0.0747,0.653,0.505,1.62e-06,0.114,-11.587,0.0422,0.114,92.999,54
The Ways of the Force,2ufKdr8F14sT0dOrExY3zK,0.871,0.172,0.307,0.941,0.11,-14.977,0.0372,0.0491,77.818,36
Scherzo for X-Wings,6eWfgktrz9i593f0ivmw25,0.787,0.37,0.431,0.839,0.357,-10.02,0.0425,0.327,135.875,35
Farewell and The Trip,5rNeP2W50bPqxNGznooWCV,0.961,0.149,0.117,0.846,0.0884,-16.079,0.0367,0.0373,102.437,35
The Jedi Steps and Finale,3fdY6ZVYtiHcrArNdvK3Ux,0.908,0.234,0.27,0.941,0.0788,-12.99,0.0342,0.0738,134.379,44
Bitter,5Z0AM9HW78XIyZqF2BPasr,0.393,0.724,0.594,0.00116,0.0889,-7.126,0.102,0.413,136.002,76
Kaleidoscope,2SkJKMfjpYsNv0KWOxiegX,0.0182,0.709,0.913,0.0,0.167,-5.148,0.0748,0.519,108.024,57
Sanction,7dhfwXTL1eeCHuvDXKnjym,0.082,0.873,0.694,3.29e-05,0.0783,-5.984,0.359,0.748,141.95,36
Firework,4lCv7b86sLynZbXhfScfm2,0.139,0.638,0.826,0.0,0.0803,-4.968,0.0479,0.649,124.072,73
Rush,11MGMZjUt1AXMxBoTxbO1q,0.00141,0.384,0.792,0.0113,0.353,-4.76,0.0405,0.134,119.916,42
Globe Amaranth,54H4qZtQG19NsvdHwHw4vH,0.662,0.589,0.616,0.0,0.296,-6.154,0.0341,0.425,152.011,0
Suffolk Punch,6LnE00VRn6mOc5Pp63sTf8,0.0194,0.643,0.79,0.213,0.0627,-7.413,0.44,0.218,137.761,2
The Catacombs (feat. Jason Evans & Dickie Allen),4OQTjJQp77nVBfZuGnLPmY,0.00163,0.255,0.998,0.0105,0.372,-2.995,0.249,0.0574,105.811,40
Labyrinth of Ghosts,1RJOFXC6LR9jfsgRrZuoPg,0.231,0.693,0.578,0.923,0.282,-12.72,0.0361,0.446,121.977,2
September,2grjqo0Frpf2okIBiifQKs,0.168,0.697,0.832,0.00131,0.269,-7.264,0.0298,0.979,125.926,80
Ruckus,4RWpsZUfHdfCVX1KgpQgWU,0.176,0.63,0.962,0.0,0.137,-1.692,0.36,0.464,130.11,58
